kappa,c_gate,quiet_solves,support_nonempty,events,events_per_day,mean_support,mean_ratio
0.4,1,2868,2868,1688,3376.0000,28.280,0.9946
0.4,1.05,2868,2868,2838,5676.0000,28.280,0.9946
0.4,1.1,2868,2868,2868,5736.0000,28.280,0.9946
0.4,1.15,2868,2868,2868,5736.0000,28.280,0.9946
0.4,1.2,2868,2868,2868,5736.0000,28.280,0.9946
0.4,1.3,2868,2868,2868,5736.0000,28.280,0.9946
0.4,1.5,2868,2868,2868,5736.0000,28.280,0.9946
0.5,1,2868,2868,96,192.0000,16.248,1.0499
0.5,1.05,2868,2868,1432,2864.0000,16.248,1.0499
0.5,1.1,2868,2868,2784,5568.0000,16.248,1.0499
0.5,1.15,2868,2868,2868,5736.0000,16.248,1.0499
0.5,1.2,2868,2868,2868,5736.0000,16.248,1.0499
0.5,1.3,2868,2868,2868,5736.0000,16.248,1.0499
0.5,1.5,2868,2868,2868,5736.0000,16.248,1.0499
0.6,1,2868,2868,3,6.0000,8.913,1.0906
0.6,1.05,2868,2868,245,490.0000,8.913,1.0906
0.6,1.1,2868,2868,1797,3594.0000,8.913,1.0906
0.6,1.15,2868,2868,2820,5640.0000,8.913,1.0906
0.6,1.2,2868,2868,2868,5736.0000,8.913,1.0906
0.6,1.3,2868,2868,2868,5736.0000,8.913,1.0906
0.6,1.5,2868,2868,2868,5736.0000,8.913,1.0906
0.7,1,2868,2840,0,0.0000,4.522,1.1196
0.7,1.05,2868,2840,36,72.0000,4.522,1.1196
0.7,1.1,2868,2840,738,1476.0000,4.522,1.1196
0.7,1.15,2868,2840,2376,4752.0000,4.522,1.1196
0.7,1.2,2868,2840,2833,5666.0000,4.522,1.1196
0.7,1.3,2868,2840,2840,5680.0000,4.522,1.1196
0.7,1.5,2868,2840,2840,5680.0000,4.522,1.1196
0.8,1,2868,2514,0,0.0000,2.165,1.1380
0.8,1.05,2868,2514,9,18.0000,2.165,1.1380
0.8,1.1,2868,2514,296,592.0000,2.165,1.1380
0.8,1.15,2868,2514,1630,3260.0000,2.165,1.1380
0.8,1.2,2868,2514,2450,4900.0000,2.165,1.1380
0.8,1.3,2868,2514,2514,5028.0000,2.165,1.1380
0.8,1.5,2868,2514,2514,5028.0000,2.165,1.1380
1,1,2868,914,0,0.0000,0.391,1.1550
1,1.05,2868,914,2,4.0000,0.391,1.1550
1,1.1,2868,914,40,80.0000,0.391,1.1550
1,1.15,2868,914,377,754.0000,0.391,1.1550
1,1.2,2868,914,821,1642.0000,0.391,1.1550
1,1.3,2868,914,914,1828.0000,0.391,1.1550
1,1.5,2868,914,914,1828.0000,0.391,1.1550
1.2,1,2868,155,0,0.0000,0.056,1.1593
1.2,1.05,2868,155,0,0.0000,0.056,1.1593
1.2,1.1,2868,155,6,12.0000,0.056,1.1593
1.2,1.15,2868,155,56,112.0000,0.056,1.1593
1.2,1.2,2868,155,129,258.0000,0.056,1.1593
1.2,1.3,2868,155,155,310.0000,0.056,1.1593
1.2,1.5,2868,155,155,310.0000,0.056,1.1593
1.4,1,2868,18,0,0.0000,0.006,1.1602
1.4,1.05,2868,18,0,0.0000,0.006,1.1602
1.4,1.1,2868,18,1,2.0000,0.006,1.1602
1.4,1.15,2868,18,8,16.0000,0.006,1.1602
1.4,1.2,2868,18,14,28.0000,0.006,1.1602
1.4,1.3,2868,18,18,36.0000,0.006,1.1602
1.4,1.5,2868,18,18,36.0000,0.006,1.1602
1.7,1,2868,0,0,0.0000,0.000,1.1603
1.7,1.05,2868,0,0,0.0000,0.000,1.1603
1.7,1.1,2868,0,0,0.0000,0.000,1.1603
1.7,1.15,2868,0,0,0.0000,0.000,1.1603
1.7,1.2,2868,0,0,0.0000,0.000,1.1603
1.7,1.3,2868,0,0,0.0000,0.000,1.1603
1.7,1.5,2868,0,0,0.0000,0.000,1.1603
2,1,2868,0,0,0.0000,0.000,1.1603
2,1.05,2868,0,0,0.0000,0.000,1.1603
2,1.1,2868,0,0,0.0000,0.000,1.1603
2,1.15,2868,0,0,0.0000,0.000,1.1603
2,1.2,2868,0,0,0.0000,0.000,1.1603
2,1.3,2868,0,0,0.0000,0.000,1.1603
2,1.5,2868,0,0,0.0000,0.000,1.1603
