noise,magnitude,trials,storm_rate,fallback_topk_rate,support_rate,gated_rate,recovery_rate,detection_rate,mean_value_error,mean_solve_residual,mean_spurious_support,storm_headroom
0,0.1,15,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,,0.1000,0.00,
0,0.2,15,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,,0.2000,0.00,
0,0.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,0.8,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,1.6,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,3.2,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,6.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,12.8,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,25.6,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,51.2,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0.05,0.1,15,0.0000,0.7333,0.0000,1.0000,0.0000,0.0000,,1.5053,0.00,0.0402
0.05,0.2,15,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,,1.4978,0.00,0.0401
0.05,0.4,15,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0362,1.5448,0.00,0.0436
0.05,0.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0302,1.5033,0.00,0.0518
0.05,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0249,1.4969,0.00,0.0855
0.05,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0214,1.5013,0.00,0.2212
0.05,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0266,1.5396,0.00,0.7723
0.05,12.8,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0171,1.5833,0.00,2.9412
0.05,25.6,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0333,1.6777,0.00,11.7208
0.05,51.2,15,1.0000,1.0000,1.0000,0.0667,0.9333,1.0000,0.0528,1.1383,0.00,46.4226
0.05,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0813,0.0221,0.00,186.5580
0.1,0.1,15,0.0000,0.2667,0.0000,1.0000,0.0000,0.0000,,2.9408,0.00,0.0386
0.1,0.2,15,0.0000,0.7333,0.0000,1.0000,0.0000,0.0000,,2.9871,0.00,0.0398
0.1,0.4,15,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,,3.0595,0.00,0.0416
0.1,0.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0520,2.9788,0.00,0.0423
0.1,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0546,2.9839,0.07,0.0513
0.1,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0592,3.0321,0.00,0.0869
0.1,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0568,3.0018,0.00,0.2206
0.1,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0397,3.0564,0.07,0.7734
0.1,25.6,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0523,3.1841,0.00,2.9487
0.1,51.2,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0881,3.3411,0.07,11.7318
0.1,102.4,15,1.0000,1.0000,1.0000,0.0667,0.9333,1.0000,0.1347,2.3175,0.13,46.5734
0.2,0.1,15,0.0000,0.2667,0.0000,1.0000,0.0000,0.0000,,5.9830,1.60,0.0410
0.2,0.2,15,0.0000,0.3333,0.0000,1.0000,0.0000,0.0000,,5.9000,1.53,0.0401
0.2,0.4,15,0.0000,0.6000,0.1333,1.0000,0.0000,0.0000,0.2325,5.9416,1.27,0.0405
0.2,0.8,15,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.1518,5.9401,1.33,0.0411
0.2,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1060,5.9644,1.27,0.0439
0.2,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1222,5.9137,1.27,0.0514
0.2,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1386,5.9877,1.47,0.0856
0.2,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1082,5.9356,1.47,0.2199
0.2,25.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1354,6.0511,1.47,0.7711
0.2,51.2,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1204,6.2425,1.33,2.9552
0.2,102.4,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1594,6.4586,4.60,11.7241
0.4,0.1,15,0.0000,0.1333,0.0667,1.0000,0.0000,0.0000,0.7500,11.2292,8.47,0.0391
0.4,0.2,15,0.0000,0.2667,0.0000,1.0000,0.0000,0.0000,,11.2845,10.13,0.0405
0.4,0.4,15,0.0000,0.1333,0.0000,1.0000,0.0000,0.0000,,11.2454,10.27,0.0405
0.4,0.8,15,0.0000,0.8667,0.2667,1.0000,0.0000,0.0000,0.1788,11.2770,10.60,0.0408
0.4,1.6,15,0.0000,1.0000,0.8000,1.0000,0.0000,0.0000,0.2598,11.2407,11.47,0.0419
0.4,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1630,11.2423,9.73,0.0431
0.4,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3312,11.3339,10.00,0.0523
0.4,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1982,11.1455,9.47,0.0853
0.4,25.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2448,11.2435,10.27,0.2237
0.4,51.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1557,11.3716,10.27,0.7631
0.4,102.4,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3080,11.9302,12.87,2.9482
0.8,0.1,15,0.0000,0.2667,0.0667,0.9333,0.0000,0.0000,0.3267,21.1345,23.00,0.0399
0.8,0.2,15,0.0000,0.1333,0.0000,0.9333,0.0000,0.0000,,21.2214,23.60,0.0406
0.8,0.4,15,0.0000,0.2000,0.0000,0.8667,0.0000,0.0000,,21.1075,22.33,0.0400
0.8,0.8,15,0.0000,0.2000,0.1333,0.8667,0.0000,0.0000,0.6316,21.0856,23.93,0.0409
0.8,1.6,15,0.0000,0.7333,0.6000,0.9333,0.0667,0.0667,0.3784,21.0803,21.00,0.0395
0.8,3.2,15,0.0000,1.0000,0.9333,0.8000,0.2000,0.2000,0.4415,21.1700,24.00,0.0415
0.8,6.4,15,0.0000,1.0000,1.0000,0.8667,0.1333,0.1333,0.4040,21.2540,21.47,0.0430
0.8,12.8,15,0.0000,1.0000,1.0000,0.8000,0.2000,0.2000,0.4673,21.2097,21.80,0.0512
0.8,25.6,15,0.0000,1.0000,1.0000,0.8667,0.1333,0.1333,0.6283,21.2145,21.33,0.0863
0.8,51.2,15,0.0000,1.0000,1.0000,0.9333,0.0667,0.0667,0.4165,21.0825,23.73,0.2250
0.8,102.4,15,0.0000,1.0000,1.0000,0.8000,0.2000,0.2000,0.3298,21.2755,23.73,0.7655
1.6,0.1,15,0.0000,0.1333,0.0667,0.2000,0.0667,0.0667,0.8478,40.3254,33.87,0.0399
1.6,0.2,15,0.0000,0.1333,0.0667,0.2000,0.0667,0.0667,2.2750,40.5100,33.67,0.0401
1.6,0.4,15,0.0000,0.1333,0.0667,0.3333,0.0667,0.0667,1.1527,40.3489,33.87,0.0402
1.6,0.8,15,0.0000,0.1333,0.0667,0.0667,0.0667,0.0667,1.9917,40.1407,35.07,0.0401
1.6,1.6,15,0.0000,0.1333,0.0667,0.0667,0.0667,0.0667,0.1476,40.4436,32.67,0.0398
1.6,3.2,15,0.0000,0.7333,0.6000,0.0667,0.6000,0.6000,1.0231,40.3770,32.73,0.0402
1.6,6.4,15,0.0000,1.0000,0.9333,0.4667,0.4667,0.4667,0.9811,40.8731,32.67,0.0413
1.6,12.8,15,0.0000,1.0000,1.0000,0.1333,0.8667,0.8667,0.8344,40.4100,36.80,0.0442
1.6,25.6,15,0.0000,1.0000,1.0000,0.1333,0.8667,0.8667,1.0043,40.4804,34.40,0.0517
1.6,51.2,15,0.0000,1.0000,1.0000,0.1333,0.8667,0.8667,0.9607,40.1784,34.13,0.0863
1.6,102.4,15,0.0000,1.0000,1.0000,0.1333,0.8667,0.8667,0.8860,40.4911,34.93,0.2244
3.2,0.1,15,0.0000,0.0667,0.0000,0.0000,0.0000,0.0000,,78.7273,40.47,0.0405
3.2,0.2,15,0.0000,0.1333,0.0667,0.0667,0.0667,0.0667,1.8411,79.0539,44.00,0.0414
3.2,0.4,15,0.0000,0.2000,0.1333,0.0000,0.1333,0.1333,1.0508,78.4058,41.27,0.0404
3.2,0.8,15,0.0000,0.0667,0.0667,0.0000,0.0667,0.0667,4.7136,78.8653,39.20,0.0396
3.2,1.6,15,0.0000,0.2667,0.2667,0.0000,0.2667,0.2667,2.1802,78.2491,40.87,0.0400
3.2,3.2,15,0.0000,0.1333,0.0667,0.0000,0.0667,0.0667,4.1972,78.4103,40.20,0.0397
3.2,6.4,15,0.0000,0.8000,0.4667,0.0000,0.4667,0.4667,1.8208,79.1739,39.27,0.0400
3.2,12.8,15,0.0000,1.0000,0.9333,0.0000,0.9333,0.9333,1.6562,78.2688,38.27,0.0394
3.2,25.6,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,2.3969,78.8397,41.60,0.0430
3.2,51.2,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,2.0195,79.1874,40.67,0.0525
3.2,102.4,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,2.2105,78.5329,41.33,0.0854
