noise,magnitude,trials,storm_rate,fallback_topk_rate,support_rate,gated_rate,recovery_rate,detection_rate,mean_value_error,mean_solve_residual,mean_spurious_support,storm_headroom
0,0.1,25,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,,0.1000,0.00,
0,0.2,25,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,,0.2000,0.00,
0,0.4,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,0.8,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,1.6,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,3.2,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,6.4,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,12.8,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,25.6,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,51.2,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0,102.4,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0.05,0.1,25,0.0000,0.6400,0.0000,0.0000,0.0000,0.0000,,1.4994,0.00,0.0401
0.05,0.2,25,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,,1.5108,0.00,0.0407
0.05,0.4,25,0.0000,1.0000,0.8800,0.0000,0.8800,0.8800,0.0287,1.5027,0.00,0.0428
0.05,0.8,25,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0244,1.5117,0.00,0.0522
0.05,1.6,25,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0299,1.5167,0.00,0.0855
0.05,3.2,25,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0260,1.4964,0.00,0.2230
0.05,6.4,25,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0284,1.5061,0.00,0.7677
0.05,12.8,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0320,1.6004,0.00,2.9476
0.05,25.6,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0369,1.6711,0.00,11.6715
0.05,51.2,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0603,1.1375,0.00,46.6283
0.05,102.4,25,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.1178,0.0265,0.00,185.7003
0.1,0.1,25,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,,2.9837,0.76,0.0400
0.1,0.2,25,0.0000,0.6400,0.0400,0.0000,0.0400,0.0400,0.0735,2.9534,1.04,0.0395
0.1,0.4,25,0.0000,1.0000,0.9200,0.0000,0.9200,0.9200,0.0492,2.9893,1.12,0.0414
0.1,0.8,25,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0499,2.9907,0.68,0.0434
0.1,1.6,25,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0653,2.9864,0.36,0.0509
